carry-on	বহন অন
banish	খেদান
bangs	চৌকো করে কাটা
bangle	বালা
bang	ঠুং
bane	সর্বনাশ
bandy	হকিখেলা
bandwagon	জনপ্রি়তার গাড়ি
bandstand	ঐকতানবাদের জন্য স্থায়ী মঁচ
bandit	ডাকাত
bandanna	রূমালবিশেষ
Band-Aid	ব্যান্ড - এইড
bandage	ব্যাণ্ডেজ
band	দল
banana	কলা
banality	তুচ্ছতা
banal	গতানুগতিক
ban	নিষেধাজ্ঞা
bamboozle	বোকা বানান
bamboo	বাঁশ
baloney	বাজে কথা
balmy	প্রশমনকারী
balm	সুগন্ধ পদার্থ
balls	বাজে কথা
ballroom	নৃত্যশালা
ballpoint pen	কলম
ballpark	ballpark
ballot	ভোটপত্র
balloon	বেলুন
ballistics	নিক্ষিপ্ত অস্ত্রাদি-সংক্রান্ত বিদ্যা
ballistic	ক্ষেপণাস্ত্র সম্পর্কীয়
ball game	কার্যক্ষেত্র
ballet	ব্যালে
ballerina	নর্তকী
ballad	গাথা
ball	বল
balk	কড়িকাঠ
baleful	বিপর্যয়কর
bale	অনিষ্ট
balding	balding
bald eagle	পালকহীন ঈগল
bald	পালকহীন
balcony	অলিন্দ
balance sheet	নিকাশ
balance of power	ক্ষমতার ভারসাম্য
balanced	সুষম
balance	ভারসাম্য
bakery	বেকারি
baker	রূটিত্তয়ালা
bake	সেকা
bait	টোপ
bailiff	সাধ্যপাল
bail	জামিন
bagpipes	bagpipes
bag lady	ব্যাগ ভদ্রমহিলা
baggy	বেঢপ
baggage	পোঁটলা
bagel	bagel
bag	ব্যাগ
baffling	বিভ্রান্তিকর
baffled	Baffled
baffle	কিংকর্তব্যবিমূঢ় করা
badmouth	কলঙ্কিত করা
badminton	ব্যাডমিন্টন
badly	খারাপভাবে
bad language	কটুকাটব্য
badlands	অনুর্বর জমি
badger	ব্যাজার
badge	ব্যাজ
bade	Bade
bad	খারাপ
bacteria	ব্যাকটেরিয়া
bacon	বেকন
backyard	বাড়ির পিছনের দিকের উঠোন
backwoods	গ্রামের প্রান্তস্থিত বন
backwards	পিছে
backward	অনগ্রসর
backup	ব্যাকআপ
backtrack	প্রত্যাখ্যান করা
backstroke	চিত্সাঁতার
backstage	গোপনে
backside	পাছ
back seat	নিম্নস্থান
backpacker	Backpacker
backpack	ব্যাকপ্যাক
backlog	জমা কাজ
backlash	নেতিবাচক প্রতিক্রিয়া
backing	সমর্থন
backhanded	প্যাঁচালো
backhand	backhand
background	পটভূমি
backgammon	ব্যাকগ্যামন
backfire	বিপর্যয় ঘটা
backer	সমর্থক
backdrop	পরিপ্রেক্ষিত
backbreaking	backbreaking
backbone	দাঁড়া
back	পিছনে
bachelor	কুমার
babysitter	ঠিকা ছেলে-ধরনি
babysit	babysit
babysat	babysat
baby carriage	ঠেলাগাড়ি
baby boomer	শিশুর ক্যাঙ্গারুর নর
baby boom	শিশুর গম্ভীর গর্জন
baby	বাচ্চা
baboon	বানরজাতীয় প্রাণিবিশেষ
babe	খোকামনি
babble	কলধ্বনি
baa	ছাগলের ডাক
B.A.	বিএ
eyewitness	প্রত্যক্ষ সাক্ষী
eyesore	চক্ষুশূল
eyesight	দৃষ্টিশক্তি
eye shadow	চোখের ছায়া
eye-opener	চোখ খুলে
eyeliner	eyeliner
eyelid	নেত্রপল্লব
eyelash	পক্ষ্ম
eyeglasses	চশমা
eye-catching	আকর্ষণীয়
eyebrow	ভুরু
eyeball	অক্ষিগোলক
eye	চোখ
exultation	উল্লাস
exultant	উল্লসিত
exult	অতিশয় আনন্দ করা
exude	ঝরান
exuberant	উচ্ছ্বাসিত
exuberance	উদ্দীপনা
extroverted	extroverted
extrovert	বহির্মুখ
extricate	মুক্ত করা
extremity	প্রান্তসীমা
extremities	পা
extremist	চরমপন্থী
extremism	চরমপন্থা
extremely	অত্যন্ত
extreme	চরম
extravagantly	extravagantly
extravagant	অসংযত
extravagance	অপচয়
extraterrestrial	extraterrestrial
extrapolate	পূর্বেই দেখা
extraordinary	অসাধারণ
extraordinarily	খুব
extraneous	পরক
extradition	বহি: সমর্পন
extradite	যোগ্য কর্তৃপক্ষ হস্তে সমর্পন করা
extracurricular	নিয়মিত পাঠক্রম বহির্ভূত
extraction	নিষ্কাশন
extract	সার
extra	অতিরিক্ত
extortionate	অত্যাচারী
extort	বলপ্রয়োগ আদায় করা
extortion	দোহন
extol	উচ্চপ্রশংসা করা
extinguisher	নির্বাপক
extinguish	নিভান
extinction	বিলোপ
extinct	লুপ্ত
external	বহিরাগত
exterminator	উন্মুলয়িতা
extermination	উন্মূলন
exterminate	উপড়াইয়া ফেলা
exterior	বহি
extent	ব্যাপ্তি
extensively	ব্যাপকভাবে
extensive	ব্যাপক
extension	প্রসার
extended family	বর্ধিত পরিবার
extend	প্রসারিত করা
extemporaneous	অনিয়মিত
exquisitely	অত্যন্ত সুন্দরভাবে
exquisite	সূক্ষ্ম
expulsion	নির্বাসন
expropriation	বাজেয়াপ্তকরণ
expropriate	দখলচু্যত করা
expressway	মোটর রাজপথ
expressly	স্পষ্টভাবে
expressively	expressively
expressive	ভাবপূর্ণ
expression	অভিব্যক্তি
express	দ্রুতগামী
exposure	প্রকাশ
exposition	উদ্ভাস
exposed	উদ্ভাসিত
expose	খুলা
exporter	রপ্তানিকারক
exportation	রপ্তানিকরণ
export	রপ্তানি
exponent	সূচক
expo	উত্পন্ন দ্রব্যাদির আন্তর্জাতিক প্রদর্শনী
explosive	বিস্ফোরক
explosion	বিস্ফোরণ
explorer	অনুসন্ধানকারী
explore	অন্বেষণ করা
exploratory	অনুসন্ধানাত্মক
exploration	অনুসন্ধান
exploitation	শোষণ
exploit	কাজে লাগান
explode	বিস্ফোরিত করা
explicitly	স্পষ্টভাবে
explicit	স্পষ্ট
explicable	কহতব্য
expletive	অনুপূরক
explanatory	ব্যাখ্যামূলক
explanation	ব্যাখ্যা
explain	ব্যাখ্যা করা
expire	মেয়াদ শেষ
expiration date	মেয়াদ শেষের তারিখ
expiration	মৃতু্য
expertly	expertly
expertise	অভিজ্ঞতা
expert	বিশেষজ্ঞ
experimentation	পরীক্ষা
experimentally	পরীক্ষামূলকভাবে
experimental	পরীক্ষামূলক
experiment	পরীক্ষা
experienced	অভিজ্ঞ
experience	অভিজ্ঞতা
expensively	expensively
expensive	ব্যয়বহুল
expenses	খরচ
expense account	ব্যয় অ্যাকাউন্ট
expense	ব্যয়
expenditure	ব্যয়
expendable	ব্যয় করা যয় এমন
expend	ব্যয় করা
expel	বিতাড়িত করা
expedition	অভিযান
expedite	সুবিধাযুক্ত
expedient	সমীচীন
expediency	যুক্তিযুক্ততা
expectation	প্রত্যাশা
expectantly	হাসে
expectant	প্রত্যাশী
expectancy	প্রত্যাশা
expect	আশা করা
expatriate	নির্বাসিত ব্যক্তি
expansive	অকপট
expansionist	সম্প্রসারণবাদী
expansion	সম্প্রসারণ
expanse	বিস্তৃতি
expanded	সম্প্রসারিত
expand	বিস্তৃত করা
exotic	বহিরাগত
exorcist	ভূতের রাজা
exorcism	গুণ
exorbitant	গলাকাটা
exoneration	ক্ষালন
exonerate	ক্ষালন করা
exodus	প্রস্থান
exit ramp	প্রস্থান ঢালু
exit poll	প্রস্থান পোল
exit	প্রস্থান
existing	বিদ্যমান
existence	অস্তিত্ব
exist	উপস্থিত থাকা
exile	নির্বাসন
exhumation	কবর হতে তোলা
exhume	প্রকাশ করা
exhortation	পরামর্শ
exhort	উত্সাহিত করা
exhilaration	উল্লাস
exhilarating	উল্লাসজনক
exhilarate	প্রাণবন্ত করা
exhibitor	প্রদর্শক
exhibitionist	exhibitionist
exhibitionism	অঙ্গের অশোভনীয় অনাবৃত অবস্থা
exhibition game	প্রদর্শনী খেলা
exhibition	প্রদর্শনী
exhibit	প্রদর্শক
exhaustively	exhaustively
exhaustive	সম্পূর্ণ
exhaustion	অবসাদ
exhausting	ক্লান্তিকর
exhausted	ক্লান্ত
exhaust	এক্সস্ট
exhale	বাষ্পীভূত করা
exertion	উদ্যম
exert	জাহির করা
exercise	ব্যায়াম
exemption	রেহাই
exempt	অব্যাহতিপ্রাপ্ত
exemplify	উদাহরণ দ্বারা ব্যাখ্যা করা
exemplary	অনুকরণীয়
executor	নির্বাহক
executive	কার্যনির্বাহী
executioner	জল্লাদ
execution	ফাঁসি
execute	নির্বাহ করা
exec	Exec
excuse	ক্ষমা
excusable	মার্জনীয়
excursion	ভ্রমণ
excruciatingly	excruciatingly
excruciating	মর্মযন্ত্রণাপূর্ণ
excrete	নাদা
excrement	বিষ্ঠা
excommunication	লেজার নির্দেশক
excommunicate	সমাজচু্যত করা
exclusively	কেবলমাত্র
exclusive	একচেটিয়া
exclusion	বর্জন
excluding	অপসারণ
exclude	বহিষ্কৃত করা
exclamation point	বিস্ময়বোধক বিন্দু
exclamation	উচ্চ শব্দ
exclaim	চীত্কার করা
exciting	উত্তেজনাপূর্ণ
excitement	উত্তেজনা
excitedly	ব্যস্ততাসহকারে
excited	অধীর
excite	জাগান
excitable	উত্তেজনক্ষম
excision	ছেদন
excise	আবগারি
exchange rate	বিনিময় হার
exchange	বিনিময়
excessively	বেজায়
excessive	অত্যধিক
excesses	বাহুল্যও
excess	বাড়তি
excerpt	উদ্ধৃতাংশ
exceptionally	অত্যন্ত
exceptional	ব্যতিক্রমী
exception	ব্যতিক্রম
except	ছাড়া
excellent	চমত্কার
excellently	সম্যক্
excel	সীমা অতিক্রম করা
excellence	শ্রেষ্ঠত্ব
exceedingly	অতীব
exceed	অতিক্রম করা
excavation	খনন
excavate	খুঁড়া
exasperation	উত্তেজনা
exasperating	অতিশয় বিরক্তিকর
exasperated	exasperated
exasperate	ক্রুদ্ধ করা
example	উদাহরণ
examiner	পরীক্ষক
examine	পরীক্ষা করা
examination	পরীক্ষা
exam	পরীক্ষা
exaltation	উল্লাস
exalt	মহিমান্বিত করা
exaggeration	রঙ
exaggerated	ফলাও
exaggerate	ফলান
exactly	ঠিক
exacting	ছিদ্রান্বেষী
exact	সঠিক
exacerbate	বর্ধিত করা
ex	অপ
ewe	ভেড়ী
evolve	গজান
evolutionary	অভিব্যক্তিমূলক
evolution	বিবর্তন
evoke	আহ্বান করা
evocative	শিল্পানুগ
evil	মন্দ
evidently	স্পষ্টরূপে
evident	স্পষ্ট
evidence	প্রমাণ
eviction	উচ্ছেদ
evict	উচ্ছেদ করা
everywhere	সর্বত্র
everything	সব
everyplace	everyplace
everyone	সবাই
everyday	দৈনন্দিন
everybody	সবাই
every	প্রতি
evermore	সতত
everlasting	অনন্ত
evergreen	চিরহরিৎ
ever	নিত্য
eventually	অবশেষে
eventuality	পরিণাম
eventual	পরিণামস্বরূপ
eventful	ঘটনাবহুল
event	ঘটনা
evenness	evenness
evenly	সমান
evenings	সন্ধ্যায়
evening	সন্ধ্যা
evenhanded	evenhanded
even	এমন কি
eve	ইভ
evasive	অসরল
evasion	ছল
evaporation	বাষ্পীভবন
evaporate	উবা
evangelist	ধর্মপ্রচারক
evangelism	ধর্মপ্রচার
evangelical	খ্রীষ্টীয় ঘটিত
evaluation	মূল্যায়ন
evaluate	সংখ্যা নির্ণয় করা
evade	টালা
evacuee	উদ্বাস্তু
evacuation	উদ্বাসন
evacuate	পায়খানা করা
euthanasia	আরামের মরণ
European	ইউরোপীয়
Europe	ইউরোপ
euphoric	euphoric
euphoria	রমরমা
euphemistically	euphemistically
euphemistic	euphemistic
euphemism	euphemism
eunuch	নপুংসক
eulogy	বাখান
eulogize	স্তুতি করা
etymology	ব্যাকরণ
etiquette	শিষ্টাচার
ethnic	জাতিগত
ethics	নীতিশাস্ত্র
ethically	নীতিগত
ethical	নৈতিক
ethic	নৈতিক
ethereal	গগনচারী
ether	থার
eternity	অনন্তকাল
eternally	eternally
eternal	অনন্ত
etch	খোদাই করা
etc.	প্রভৃতি
et al.	এট আল.
estuary	মোহনা
estrogen	ইস্ট্রজেন
estrangement	বিরোধ
estranged	বিছিন্ন
estimation	প্রাক্কলন
estimated	আনুমানিক
estimate	হিসাব
estimable	শ্রদ্ধেয়
esthetically	esthetically
esthetic	সৌন্দর্যবোধবিশিষ্ট
esteem	উচ্চমূল্য
estate	স্টেট
establishment	সংস্থাপন
establish	স্থাপন করা
essentially	মূলত
essential	অপরিহার্য
essence	সারাংশ
essay	প্রবন্ধ
espresso	এসপ্রেসো
espouse	বিবাহ করা
espionage	গুপ্তচরবৃত্তি
especially	বিশেষত
esp.	ESP .
ESP	ESP
esoteric	গূঢ়
esophagus	অন্ননালী
ESL	ইএসএল
Eskimo	এস্কিমো
escort	সহচর
eschew	পরিহার করা
escapist	পলায়নী প্রবৃত্তিপূর্ণ
escapism	পলায়নী প্রবৃত্তি
escaped	পলান
escape	অব্যাহতি
escapade	পলায়ন
escalator	চলন্ত সিঁড়ি
escalation	তীব্রতাবৃদ্ধি
escalate	ধাপে ধাপে বৃদ্ধি করা
eruption	অগ্ন্যুত্পাত
erupt	বিস্ফোরণ হত্তয়া
erudition	বিদ্যা
erudite	জ্ঞানী
error	ভুল
erroneous	ভ্রান্ত
erroneously	ভ্রান্তভাবে
erratically	erratically
erratic	অনিশ্চিত
errant	ভ্রমণরত
errand	প্রেরিত বার্তা
err	ভুল করা
eroticism	eroticism
erotically	erotically
erotic	প্রেমমূলক
erosion	ক্ষয়
erode	ক্ষয় করা
erection	ইমারত
erect	খাড়া
eraser	রবার
erase	নিশ্চিহ্ন করা
eradication	উচ্ছেদ
eradicate	সমূলে উত্পাটন করা
era	যুগ
ER	ইআর
equivocal	সন্দেহজনক
equivalent	সমতুল্য
equivalence	সমানতা
equity	ইকুইটি
equitable	ন্যায়সঙ্গত
equipped	সজ্জিত
equipment	উপকরণ
equip	প্রস্তুত করা
equinox	বিষুব
equine	অশ্বতুল্য
equilibrium	সুস্থিতি
equilateral	সমবাহু
equestrian	অশ্বারূঢ়
equatorial	নিরক্ষীয়
equator	বিষুবরেখা
equation	সমীকরণ
equate	সমীকরণ করা
equanimity	মনের সমতা
equal sign	সমান চিহ্ন
equally	সমানভাবে
equalize	সমান করা
equality	সমতা
equal	সমান
epoch	কাল
epitomize	চুম্বক করা
epitome	সংক্ষিপ্তসার
epithet	বিশেষণ
epitaph	সমাধিস্তম্ভ-লিপি
epistle	পত্র
episodic	অনিয়মিত
episode	উপাখ্যান
Episcopalian	বিশপ-সংক্রান্ত
Episcopal Church	এপিসকোপাল চার্চ
epilogue	পরিশেষ
epileptic	মৃগীরোগী
epilepsy	মৃগীরোগ
epigram	শ্লেষ
epidemic	মহামারী
epicenter	উপকেন্দ্র
epic	মহাকাব্য
ephemeral	ক্ষণজীবী
epaulet	সৈন্যদের স্কন্ধোপরিস্থ বিহ্ন
enzyme	উত্সেচক
envy	দ্বেষ
envoy	দূত
envision	কল্পনা করা
envisage	বিবেচনা
environs	শহরতলি
environmentally	পরিবেশ
environmentalist	পরিবেশবিদ
environmental	পরিবেশগত
environment	পরিবেশ
enviously	enviously
envious	পরশ্রীকাতর
enviable	বাঁছনীয়
envelope	খাম
envelop	মোড়া
enunciation	উক্তি
enunciate	বিবৃত করা
enumerate	গনা
entwine	বয়ন করা
entryway	entryway
entry-level	এন্ট্রি - স্তরের
entry	প্রবেশ
entrust	বিশ্বাস স্থাপন করা
entrepreneurial	উদ্যোক্তা
entrepreneur	ব্যবসায়ে ঝুঁকিদার
entree	প্রবেশাধিকার
entreaty	অনুরোধ
entreat	অনুনয় করা
entrapment	entrapment
entrap	ফাঁদে ধরা
entrant	প্রবেশক
entrance ramp	প্রবেশদ্বার ঢালু
entrance	প্রবেশদ্বার
entrails	অন্ত্র
entourage	পরিপার্শ্ব
entomology	পতঙ্গবিজ্ঞান
entomologist	পতঙ্গবিজ্ঞানী
entity	সত্তা
entitlement	এনটাইটেলমেন্টের
entitled	স্বত্ববান
entitle	আখ্যাত করা
entirety	সম্পূর্ণতা
entirely	সম্পূর্ণরূপে
entire	সমগ্র
enticing	enticing
enticement	প্রলোভন
entice	প্রলুব্ধ করা
enthusiastically	উৎসাহের
enthusiastic	উত্সাহী
enthusiast	কৌতূহলী ব্যক্তি
enthusiasm	উদ্যম
enthuse	উদ্যমী করান
enthralling	enthralling
enthrall	দাসত্বে আবদ্ধ করা
entertainment	বিনোদন
entertaining	রসাল
entertainer	বিনোদনকারী
entertain	পোষণ করা
enterprising	উচ্চাভিলাষী
enterprise	উদ্যোগ
enter	প্রবেশ করান
entanglement	জড়াইয়া পড়া
entangled	বিজড়িত
entangle	বিপর্যস্ত করা
entail	ফলস্বরূপ ঘটা
ensure	নিশ্চিত করা
ensuing	আসন্ন
ensue	ঘটা
ensign	পতাকাবাহী
enshrine	মন্দিরমধ্যে রক্ষা করা
ensemble	আঁসাঁব্ল
ensconce	দৃঢ়ভাবে প্রতিষ্ঠিত করা
en route	যাইবার পথে
enrollment	নিয়োগ
enroll	নথিভুক্ত করা
enrichment	সমৃদ্ধি
enrich	সমৃদ্ধ করা
enraged	খাপ্পা
enough	যথেষ্ট
enrage	পাগল করা
enormous	বৃহদাকার
enormity	বিশালতা
enormously	অতিশয়
enmity	শত্রুতা
en masse	সার্বজনীনভাবে
enliven	উদ্দীপ্ত করা
enlistment	তালিকাভুক্তি
enlist	পক্ষভুক্ত করা
enlightening	জ্ঞানগর্ভ
enlightened	আলোকিত
enlighten	জ্বালান
enlargement	পরিবর্ধন
enlarge	সম্প্রসারিত করা
enjoyment	রমণ
enjoyable	উপভোগ্য
enjoy	ভোগ
enigmatic	হেঁয়ালিপূর্ণ
enigma	হেঁয়ালি
enhancement	বৃদ্ধি
enhance	উন্নত করা
engulf	ভরা
engrossing	চিত্তাকর্ষক
engrossed	নিমজ্জিত
engraving	খোদাই
engrave	খুদা
English	ইংরেজি
engineering	প্রকৌশল
engineer	প্রকৌশলী
engine	ইঞ্জিন
engender	প্রসব করা
engaging	আকর্ষক
engagement ring	বাগ্দানের নিদর্শনস্বরূপ আংটি
engagement	প্রবৃত্তি
engaged	জড়িত
engage	চুক্তিবদ্ধ করান
enfranchise	স্বাধীনতা দেত্তয়া
enforcement	বলবত্করণ
enforceable	শক্য
enforce	জোরদার করা
energy	শক্তি
energize	প্রবলভাবে সক্রিয় করা
energies	শক্তি
energetically	জীবন্তভাবে
energetic	অনলস
enemy	শত্রু
end zone	শেষ জোন
enduring	স্থায়ী
endure	সহ্য করা
endurance	সহনশীলতা
endowment	বৃত্তিদান
endow	বুদ্ধি দ্বারা অলঙ্কৃত করা
endorsement	পৃষ্ঠাঙ্কন
endorse	অনুমোদন করা
endlessly	endlessly
endless	অবিরাম
endive	endive
ending	শেষ
endemic	স্থানীয়
endeavor	উপক্রম
endearment	আদর
endearing	স্নেহসঞ্চারক
endear	আদরণীয় করা
endangered species	বিপন্ন প্রজাতি
endangered	বিপন্ন
endanger	বিপন্ন করা
end	শেষ
encyclopedia	বিশ্বকোষ
encumbrance	বোঝা
encumber	ব্যাহত করা
encroach	সীমালঙ্ঘন করা
encouraging	উত্তেজক
encouragement	অনুপ্রেরণা
encourage	উত্সাহিত করা
encounter	সাক্ষাৎ
encore	আর একবার
encompass	পরিবেষ্টন করা
enclosure	ঘের
enclose	ঘিরা
enclave	ছিটমহল
encircle	পরিবেষ্টন করা
enchilada	enchilada
enchanting	মোহন
enchanted	মায়াময়
encase	বাঁধা
enamored	প্রেমমুগ্ধ
enamel	কলাই
enable	সক্রিয়
enact	বিহিত করা
emulate	অনুকরণ করা
empty-handed	খালিহাতে
empty	খালি
emptiness	শূন্যতা
empress	রাজরাজেশ্বরী
empowerment	ক্ষমতায়ন
empower	ক্ষমতাপ্রদান করা
emporium	বড়বাজার
employment agency	কর্মসংস্থান সংস্থা
employment	চাকরি
employer	নিয়োগকর্তা
employee	কর্মচারী
employ	চাকরী
empirical	গবেষণামূলক
empire	সাম্রাজ্য
emphysema	এমফিসেমা
emphatically	সজোরে
emphatic	সতেজ
emphasize	গুরুত্ব আরোপ করা
emphasis	জোর
emphases	emphases
emperor	সম্রাট
empathy	সহানুভূতি
empathize	empathize
emotive	আবেগপ্রবণ
emotionally	আবেগের
emotional	আবেগপ্রবণ
emotion	আবেগ
Emmy	এমি
emit	প্রেরণ করা
emission	নির্গমন
emissary	গুপ্তচর
emirate	আমিরশাহী
emir	আমির
eminently	মাত্রাতিরিক্তভাবে
eminent	বিশিষ্ট
emigration	প্রবাস
emigrate	বাসস্থান বদলান
emigrant	দেশান্তরী
emery board	শিরিস বোর্ড
emeritus	এমেরিটাস
emergent	উত্থানশীল
emergency room	আপত্কালীন কক্ষ
emergency brake	ইমার্জেন্সি ব্রেক
emergency	জরুরি অবস্থা
emergence	উত্থান
emerge	নিষ্ক্রমণ করা
emerald	পান্না
emcee	emcee
embryonic	আদিম
embryo	ভ্রূণ
embroil	ঝামেলায় জড়ান
embroidery	সূচিকর্ম
embroider	অলঙ্কৃত করা
embrace	আলিঙ্গন
embossed	এমবসড
emboss	খোদাই করা
embody	মূর্ত করা
embodiment	প্রতিমূর্তি
emblem	প্রতীক
emblazon	উত্সব করা
embittered	embittered
embitter	তিক্ত করা
embezzler	embezzler
embezzlement	আত্মসাৎ
embezzle	আত্মসাৎ করা
ember	জ্বলন্ত অঙ্গার
embellishment	ভূষণ
embellish	অলঙ্কৃত করা
embed	শোয়ান
embattled	embattled
embassy	দূতাবাস
embarrassment	বিমূঢ়তা
embarrassingly	embarrassingly
embarrassing	হতবুদ্ধিকর
embarrassed	অপ্রস্তুত
embarrass	বিব্রত করা
embark	পোতারূঢ করা
embargo	নিষেধাজ্ঞা
embankment	বাঁধ
embalm	সুবাসিত করা
emancipation	বন্ধনমুক্তি
emancipated	emancipated
emancipate	মুক্ত করা
emanate	নি: সৃত হত্তয়া
e-mail	ই - মেইল
emaciated	কৃশ
'em	' ই.এম.
elves	পরী
elusive	অধরা
elude	পালান
elucidate	স্পষ্ট করা
elsewhere	অন্যত্র
else	অন্যথায়
eloquently	eloquently
eloquent	বলিয়ে
eloquence	বাগ্মিতা
elopement	গোপনে পলায়ন
elope	গোপনে পলায়ন করা
elongated	দীর্ঘায়ত
elongate	সম্প্রসারিত
elm	বেদারুজাতীয় বৃক্ষবিশেষ
elliptical	উপবৃত্তাকার
elk	হরিণবিশেষ
elitist	অভিজাত
elitism	elitism
elite	সেরা অংশ
elimination	বর্জন
eliminate	নিষ্কাশন করা
eligible	উপযুক্ত
eligibility	বাঁছনীয়তা
elicit	প্রকাশ করা
elfin	বামন
elf	পরী
eleventh	একাদশ
eleven	এগার
elevator	লিফট
elevation	টিলা
elevate	চড়ান
elephant	হাতি
elements	উপাদান
elementary school	প্রাথমিক স্কুল
elementary	প্রাথমিক
elemental	আধিভৌতিক
element	উপাদান
elegy	বিষাদসঙ্গীত
elegantly	elegantly
elegant	মার্জিত
elegance	কমনীয়তা
electronics	ইলেকট্রনিক্স
electronic mail	ইলেকট্রনিক মেইল
electronically	বৈদ্যুতিন
electronic	বৈদ্যুতিন
electron	ইলেক্ট্রন
electrolysis	তড়িদ্বিশ্লেষণ
electrode	বিদ্যুদ্বাহক
electrocution	তড়িতাহত
electrocute	তড়িত
electrifying	বৈদ্যুত্
electrify	বৈদ্যুতীকরণ করা
electric shock	বৈদ্যুতিক শক
electric razor	বৈদ্যুতিক ক্ষুর
electricity	বিদ্যুৎ
electrician	তাড়িতী
electric chair	বৈদ্যুতিক চেয়ার
electrical	বৈদ্যুতিক
electric	বৈদ্যুতিক
electorate	নির্বাচকমণ্ডলী
electoral college	নির্বাচনী কলেজ
electoral	নির্বাচনী
elective	নির্বাচক
election	নির্বাচন
elect	নির্বাচিত
eldest	জ্যেষ্ঠ
elders	গুরুজন
elderly	বৃদ্ধ
elder	অগ্রজ
elbowroom	elbowroom
elbow	কনুই
elation	উল্লাস
elated	গর্বিত
elasticity	স্থিতিস্থাপকতা
elastic	স্থিতিস্থাপক
elapse	চলা
elaboration	বিবরণাদি
elaborately	বিস্তারিতভাবে
elaborate	সম্প্রসারিত
eke	সংযোজিত করা
ejection	নিক্ষেপ
eject	দূরীভূত করা
ejaculation	উল্লাসধ্বনি
ejaculate	নির্গত করা
either	নয়তো
eighty	আশি
eightieth	অশীতিতম
eighth	অষ্টম
eighteenth	অষ্টদশ
eighteen	আঠার
eight	আট
eh	অঁ্যা
egregiously	egregiously
egregious	মর্মান্তিক
egotistical	আত্মম্ভরি
egotist	আত্মশ্লাঘী
egotism	অস্মিতা
egocentric	অহংভাবপূর্ণ
ego	অহং
eggshell	ডিমের খোসা
eggplant	বেগুন
egghead	বুদ্ধিজীবী ব্যক্তি
egg	ডিম
egalitarianism	সাম্য
egalitarian	সমমাত্রিক
e.g.	উদাহরণস্বরূপ
EFL	EFL
effusively	effusively
effusive	নির্গমনশীল
effortlessly	অনায়াসে
effortless	অনায়াস
effort	প্রচেষ্টা
effigy	প্রতিকৃতি
efficiently	দক্ষতার
efficient	দক্ষ
efficiency	দক্ষতা
effervescent	বুদ্বুদপূর্ণ
effervescence	বুজকুড়ি
effeminate	দুর্বল
effects	প্রভাব
effectiveness	কার্যকারিতা
effectively	কার্যকরীভাবে
effective	কার্যকর
effect	প্রভাব
eerily	eerily
eerie	ভুতুড়ে
eel	পাঁকাল
educator	শিক্ষাব্রতী
educationally	শিক্ষাগতভাবে
educational	শিক্ষাগত
education	শিক্ষা
educated	শিক্ষিত
educate	শিক্ষিত করা
editorial	সম্পাদকীয়
editor	সম্পাদক
edition	সংস্করণ
edit	সম্পাদন করা
edify	নৈতিক করা
edifice	প্রাসাদ
edification	শিক্ষাদীক্ষা
edict	ফরমান
edible	ভোজ্য
edgy	ধারাল
edgewise	কিনারার দিকে
edge	প্রান্ত
eddy	ঘূর্ণিবায়ু
eczema	চর্মরোগবিশেষ
ecumenical	জগদ্ব্যাপী
ecstatic	ভাবাবেশকর
ecstasy	পরমানন্দ
ecosystem	বাস্তুতন্ত্র
economy	অর্থনীতি
economize	খরচ বাঁচান
economist	অর্থনীতিবিদ
economics	অর্থনীতি
economically	অর্থনৈতিকভাবে
economical	মিতব্যয়ী
economic	অর্থনৈতিক
ecology	বাস্তুসংস্থান
ecologist	বাস্তব্যবিদ্যা
ecologically	বাস্তু-
ecological	বাস্তুসংস্থানসংক্রান্ত
eclipse	অন্ধকার
eclair	Eclair
echo	প্রতিধ্বনি
ecclesiastical	যাজকীয়
eccentricity	ছিট
eccentric	অদ্ভুতস্বভাব
ebullient	অত্যুত্সাহী
ebullience	ফোটা
ebony	আবলুস
ebb	ভাটা
eavesdropper	যে আড়ি পেতে শুনে
eavesdrop	আড়ি পেতে শোনা
eaves	ঘরের ছাঁইচ
eatery	খাবারের দোকান
eater	ভক্ষক
eaten	ভুক্ত
eat	খাওয়া
easygoing	চিন্তাভাবনাহীন
easy chair	আরাম-কেদারা
easy	সহজ
eastwards	পূর্বদিকে
eastward	পূর্বদিকে
easterner	প্রাচ্যবাসী
eastern	পূর্ব
easterly	পুবাল বাতাস
Easter egg	ইস্টার ডিম
Easter	স্টার
eastbound	Eastbound
east	পূর্ব
easily	সহজে
easel	চিত্রফলক
ease	আরাম
earwax	খলি
earthy	মর
earthworm	কেঁচো
earthshaking	earthshaking
earthquake	ভূমিকম্প
earthly	পার্থিব
earthiness	earthiness
earth	পৃথিবী
Earth	পৃথিবী
earsplitting	earsplitting
earshot	শুনিতে পাইবার মত দূরত্ব
earring	মাকড়ি
earplug	earplug
earphones	হেডফোন
earnings	উপার্জন
earnestness	ব্যগ্রতা
earnestly	আন্তরিকভাবে
earnest	আন্তরিক
earn	উপার্জন করা
earmuffs	টুপির কান
earmark	পরিচায়ক চিহ্ন
early	গোড়ার দিকে
earlobe	কানের লতি
eardrum	কানের পরদা
earache	কর্ণশূল
ear	কান
eagle-eyed	তীক্ষ্ণদৃষ্টি
eagle	গল
